word,pos,level,mp3_url
aid,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
aid,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
aide,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aid__/aid__gb_2.mp3
AIDS,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aid/aids_/aids__gb_1.mp3
aim,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3
aim,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3
air,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air__/air__gb_1.mp3
aircraft,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/aircr/aircraft__gb_1.mp3
airline,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airli/airline__gb_1.mp3
airport,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airpo/airport__gb_3.mp3
alarm,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ala/alarm/alarm__gb_1.mp3
alarm,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ala/alarm/alarm__gb_1.mp3
albeit,conjunction,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alb/albei/albeit__gb_2.mp3
album,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alb/album/album__gb_1.mp3
alcohol,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcohol__gb_1.mp3
alcoholic,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholic__gb_1.mp3
alert,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
alert,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
alert,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
alien,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/alien/alien__gb_2.mp3
alien,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/alien/alien__gb_2.mp3
align,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/align/align__gb_1.mp3
alignment,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/align/alignment__gb_1.mp3
alike,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/alike/alike__gb_2.mp3
alike,adverb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/alike/alike__gb_2.mp3
alive,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ali/alive/alive__gb_1.mp3
all,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all__/all__gb_1.mp3
all,determiner,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all__/all__gb_1.mp3
all,pronoun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all__/all__gb_1.mp3
all right,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
all right,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
all right,exclamation,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
allegation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/alleg/allegation__gb_1.mp3
allege,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/alleg/allege__gb_1.mp3
allegedly,adverb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/alleg/allegedly__gb_1.mp3
alliance,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allia/alliance__gb_1.mp3
allocate,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/alloc/allocate__gb_1.mp3
allocation,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/alloc/allocation__gb_2.mp3
allow,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allow/allow__gb_1.mp3
allowance,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allow/allowance__gb_1.mp3
ally,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/ally_/ally__gb_1.mp3
almost,adverb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alm/almos/almost__gb_1.mp3
alone,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alo/alone/alone__gb_1.mp3
